time,open,high,low,close,volume
2026-05-18T00:00:00+00:00,77413.9921875,77420.140625,76859.53125,77139.453125,439656448.0
2026-05-18T00:15:00+00:00,77160.0,77270.3828125,77040.6875,77102.5078125,515561472.0
2026-05-18T00:30:00+00:00,77064.9609375,77175.3671875,76916.078125,76975.2890625,302536704.0
2026-05-18T00:45:00+00:00,76961.703125,77180.0,76907.4765625,77166.1328125,263843840.0
2026-05-18T01:00:00+00:00,77146.1015625,77228.7734375,77023.703125,77023.703125,96528384.0
2026-05-18T01:15:00+00:00,77013.296875,77013.296875,76814.2578125,76848.03125,171485184.0
2026-05-18T01:30:00+00:00,76848.0234375,76877.140625,76729.921875,76788.9296875,299243520.0
2026-05-18T01:45:00+00:00,76783.21875,77115.96875,76714.8203125,77068.03125,244353024.0
2026-05-18T02:00:00+00:00,77064.6875,77176.0,77007.75,77114.203125,203567104.0
2026-05-18T02:15:00+00:00,77112.78125,77123.5390625,76911.25,76991.9375,121294848.0
2026-05-18T02:30:00+00:00,76975.296875,77005.9921875,76788.6171875,76830.0,117526528.0
2026-05-18T02:45:00+00:00,76830.3671875,76888.34375,76659.4765625,76787.40625,473630720.0
2026-05-18T03:00:00+00:00,76789.8671875,76971.0078125,76789.8671875,76832.953125,192112640.0
2026-05-18T03:15:00+00:00,76832.9609375,76952.0078125,76800.21875,76918.6796875,361793536.0
2026-05-18T03:30:00+00:00,76915.5078125,76960.9921875,76759.6484375,76960.9921875,265205760.0
2026-05-18T03:45:00+00:00,76949.671875,76971.9921875,76838.0,76881.6484375,137992192.0
2026-05-18T04:00:00+00:00,76877.7890625,76988.0078125,76877.7890625,76975.296875,244242432.0
2026-05-18T04:15:00+00:00,76971.03125,76985.1796875,76731.3828125,76766.7265625,136083456.0
2026-05-18T04:30:00+00:00,76766.3515625,76956.1875,76731.90625,76955.9921875,38410240.0
2026-05-18T04:45:00+00:00,76960.75,77020.1171875,76872.8203125,76988.109375,117059584.0
2026-05-18T05:00:00+00:00,76993.96875,77032.46875,76953.9375,76986.3125,90376192.0
2026-05-18T05:15:00+00:00,76979.9609375,77013.046875,76880.0,76988.046875,83027968.0
2026-05-18T05:30:00+00:00,77004.6484375,77023.8125,76847.1875,76859.9921875,88631296.0
2026-05-18T05:45:00+00:00,76852.71875,76934.21875,76837.6171875,76872.8125,237506560.0
2026-05-18T06:00:00+00:00,76868.5390625,76909.5078125,76539.9921875,76832.0703125,203917312.0
2026-05-18T06:15:00+00:00,76832.9765625,76920.71875,76670.0,76689.203125,504137728.0
2026-05-18T06:30:00+00:00,76682.0390625,76793.140625,76618.5234375,76774.59375,181958656.0
2026-05-18T06:45:00+00:00,76794.3125,76904.0,76785.9921875,76865.4765625,55468032.0
2026-05-18T07:00:00+00:00,76895.0,76945.3984375,76827.171875,76895.5078125,423065600.0
2026-05-18T07:15:00+00:00,76883.96875,77017.9921875,76714.828125,76986.703125,207923200.0
2026-05-18T07:30:00+00:00,76984.796875,77029.0,76872.8515625,76912.9765625,548980736.0
2026-05-18T07:45:00+00:00,76925.328125,77031.96875,76925.328125,77021.46875,477526016.0
2026-05-18T08:00:00+00:00,77020.296875,77120.9765625,76956.53125,76984.8203125,402413568.0
2026-05-18T08:15:00+00:00,76968.2421875,77009.609375,76900.90625,76916.6875,380243968.0
2026-05-18T08:30:00+00:00,76931.953125,76934.0,76826.171875,76895.2421875,186898432.0
2026-05-18T08:45:00+00:00,76892.859375,76986.34375,76835.5234375,76972.09375,269606912.0
2026-05-18T09:00:00+00:00,76972.078125,76993.5234375,76818.0390625,76849.53125,120389632.0
2026-05-18T09:15:00+00:00,76840.1796875,76931.109375,76840.1796875,76913.2890625,109312000.0
2026-05-18T09:30:00+00:00,76897.3125,76969.7421875,76849.53125,76901.2109375,152936448.0
2026-05-18T09:45:00+00:00,76905.703125,76944.578125,76860.7265625,76884.8515625,178749440.0
2026-05-18T10:00:00+00:00,76897.5,76900.3203125,76722.1484375,76737.828125,490745856.0
2026-05-18T10:15:00+00:00,76729.640625,76781.9921875,76662.71875,76768.1796875,40318976.0
2026-05-18T10:30:00+00:00,76774.796875,76810.2109375,76716.5,76766.8515625,149413888.0
2026-05-18T10:45:00+00:00,76800.0078125,76850.9375,76717.2421875,76717.2578125,150493184.0
2026-05-18T11:00:00+00:00,76732.7578125,76742.34375,76639.3671875,76707.7265625,237205504.0
2026-05-18T11:15:00+00:00,76701.28125,76823.859375,76700.578125,76770.1328125,155799552.0
2026-05-18T11:30:00+00:00,76766.15625,77349.0390625,76734.0,77307.90625,145014784.0
2026-05-18T11:45:00+00:00,77313.40625,77313.40625,77167.46875,77238.5078125,558532608.0
2026-05-18T12:00:00+00:00,77242.0703125,77438.4921875,77227.9921875,77381.890625,288116736.0
2026-05-18T12:15:00+00:00,77391.2421875,77498.078125,77266.5625,77297.8515625,141127680.0
2026-05-18T12:30:00+00:00,77304.0,77692.3125,77260.390625,77690.1015625,354801664.0
2026-05-18T12:45:00+00:00,77698.9765625,77745.1171875,77552.03125,77607.78125,349599744.0
2026-05-18T13:00:00+00:00,77605.3125,77609.8125,77424.0625,77446.1171875,491849728.0
2026-05-18T13:15:00+00:00,77451.953125,77451.953125,77234.0078125,77234.0078125,78479360.0
2026-05-18T13:30:00+00:00,77196.9296875,77238.9921875,76711.6875,76758.0,661633024.0
2026-05-18T13:45:00+00:00,76723.5703125,77072.2890625,76669.96875,76883.4609375,690665472.0
2026-05-18T14:00:00+00:00,76874.9921875,76916.0,76631.0390625,76653.3828125,1246402560.0
2026-05-18T14:15:00+00:00,76648.90625,76785.0,76389.8984375,76596.0078125,620771328.0
2026-05-18T14:30:00+00:00,76631.1875,76663.1328125,76188.0078125,76439.0703125,646670336.0
2026-05-18T14:45:00+00:00,76425.1796875,76445.2265625,76268.640625,76343.890625,736215040.0
2026-05-18T15:00:00+00:00,76308.2421875,76375.0,76058.5625,76228.859375,1124171776.0
2026-05-18T15:15:00+00:00,76226.84375,76257.6875,76008.9296875,76030.5,575565824.0
2026-05-18T15:30:00+00:00,76017.1875,76299.96875,76005.9765625,76262.5390625,597319680.0
2026-05-18T15:45:00+00:00,76264.859375,76424.65625,76213.7265625,76343.0078125,440401920.0
2026-05-18T16:00:00+00:00,76318.0078125,76506.2734375,76177.5,76442.4375,398565376.0
2026-05-18T16:15:00+00:00,76438.3828125,76585.15625,76146.34375,76209.9921875,686211072.0
2026-05-18T16:30:00+00:00,76216.8828125,76464.5703125,76164.9765625,76390.6328125,842534912.0
2026-05-18T16:45:00+00:00,76420.0,76472.0,76328.9609375,76345.390625,545218560.0
2026-05-18T17:00:00+00:00,76356.3203125,76574.03125,76312.2734375,76495.953125,229171200.0
2026-05-18T17:15:00+00:00,76506.90625,76633.109375,76506.90625,76607.21875,228700160.0
2026-05-18T17:30:00+00:00,76607.40625,76620.046875,76499.5078125,76597.5625,90185728.0
2026-05-18T17:45:00+00:00,76599.8203125,76699.9921875,76577.828125,76638.671875,235995136.0
2026-05-18T18:00:00+00:00,76624.7578125,76644.7265625,76361.140625,76381.7109375,135118848.0
2026-05-18T18:15:00+00:00,76350.59375,76382.6015625,76087.3125,76289.6171875,164065280.0
2026-05-18T18:30:00+00:00,76289.7265625,76351.7421875,76195.5,76261.0234375,524595200.0
2026-05-18T18:45:00+00:00,76261.0234375,76314.03125,76164.140625,76186.84375,469155840.0
2026-05-18T19:00:00+00:00,76183.828125,76832.46875,76183.828125,76554.7265625,661757952.0
2026-05-18T19:15:00+00:00,76569.9609375,76625.4609375,76487.21875,76569.2421875,333062144.0
2026-05-18T19:30:00+00:00,76552.0,76846.9296875,76552.0,76826.203125,238153728.0
2026-05-18T19:45:00+00:00,76862.8125,76924.96875,76764.3828125,76858.828125,205344768.0
2026-05-18T20:00:00+00:00,76879.953125,77012.5,76820.9921875,76996.4609375,339996672.0
2026-05-18T20:15:00+00:00,76991.5390625,77101.2421875,76985.0390625,77070.34375,65933312.0
2026-05-18T20:30:00+00:00,77067.0234375,77120.2109375,76901.0390625,76901.046875,298840064.0
2026-05-18T20:45:00+00:00,76910.0,76990.3203125,76828.0078125,76847.96875,475910144.0
2026-05-18T21:00:00+00:00,76855.3671875,76960.6796875,76743.9296875,76859.421875,269701120.0
2026-05-18T21:15:00+00:00,76859.40625,77029.90625,76859.40625,76972.140625,55836672.0
2026-05-18T21:30:00+00:00,76969.8125,77127.0390625,76916.6796875,76975.296875,292532224.0
2026-05-18T21:45:00+00:00,76988.1875,77074.28125,76928.5078125,77048.5390625,119771136.0
2026-05-18T22:00:00+00:00,77063.6875,77112.671875,76987.6015625,77088.8515625,89247744.0
2026-05-18T22:15:00+00:00,77079.0234375,77171.9765625,77034.5703125,77086.140625,11157504.0
2026-05-18T22:30:00+00:00,77111.9921875,77112.75,76975.4296875,76995.4375,0.0
