time,open,high,low,close,volume
2026-01-18T00:00:00+00:00,95112.3984375,95189.4921875,95054.734375,95061.84375,0.0
2026-01-18T01:00:00+00:00,95062.1328125,95062.1328125,94848.9296875,94908.953125,310758400.0
2026-01-18T02:00:00+00:00,94926.140625,95018.2578125,94851.5,94977.703125,0.0
2026-01-18T03:00:00+00:00,94980.296875,95152.140625,94980.296875,95147.21875,86411264.0
2026-01-18T04:00:00+00:00,95121.0546875,95146.0,95038.8984375,95059.859375,0.0
2026-01-18T05:00:00+00:00,95059.390625,95189.578125,95025.65625,95154.515625,149681152.0
2026-01-18T06:00:00+00:00,95134.3046875,95171.390625,95112.2109375,95136.4921875,37563392.0
2026-01-18T07:00:00+00:00,95137.25,95141.3046875,94995.9296875,95023.484375,61304832.0
2026-01-18T08:00:00+00:00,94999.828125,95159.0234375,94977.6953125,95146.9765625,0.0
2026-01-18T09:00:00+00:00,95146.78125,95245.3203125,95122.953125,95236.4140625,291320832.0
2026-01-18T10:00:00+00:00,95230.1171875,95237.7890625,95064.1484375,95137.8203125,439664640.0
2026-01-18T11:00:00+00:00,95134.15625,95142.8203125,95038.8828125,95124.703125,0.0
2026-01-18T12:00:00+00:00,95129.015625,95135.609375,95049.40625,95049.40625,0.0
2026-01-18T13:00:00+00:00,95066.609375,95146.4375,94884.125,95115.234375,311855104.0
2026-01-18T14:00:00+00:00,95118.6171875,95275.953125,94904.9375,94904.9375,444989440.0
2026-01-18T15:00:00+00:00,94931.953125,95088.28125,94891.65625,95088.28125,0.0
2026-01-18T16:00:00+00:00,95082.828125,95157.6796875,95044.390625,95139.5,0.0
2026-01-18T17:00:00+00:00,95124.078125,95233.15625,95121.7890625,95171.609375,6135808.0
2026-01-18T18:00:00+00:00,95229.9375,95488.1796875,95155.28125,95439.3671875,440893440.0
2026-01-18T19:00:00+00:00,95408.9921875,95475.015625,95308.9921875,95334.5625,524771328.0
2026-01-18T20:00:00+00:00,95345.9609375,95406.9765625,95260.4609375,95266.8046875,129189888.0
2026-01-18T21:00:00+00:00,95266.96875,95396.859375,95245.46875,95388.8515625,0.0
2026-01-18T22:00:00+00:00,95389.390625,95481.4296875,95363.46875,95458.40625,90507264.0
2026-01-18T23:00:00+00:00,95416.59375,95416.59375,93595.4140625,93655.671875,3332814848.0
2026-01-19T00:00:00+00:00,93646.9140625,93646.9140625,92286.546875,92697.59375,6988539904.0
2026-01-19T01:00:00+00:00,92703.4140625,92792.6171875,92234.4140625,92509.7265625,1805570048.0
